id,product_id,name,old_price,new_price,change_date
1,5988,Vino Tinto Crianza D.O.Valdepeñas,2.25,2.0,2026-03-16 09:08:07
2,7052,Salfumant,1.1,1.2,2026-03-16 09:08:13
3,10283,Licor de Hierbas,10.55,9.4,2026-03-16 09:08:28
4,11953,Tapioca Caja,2.5,2.59,2026-03-16 09:08:34
5,13352,Porción de Salmón,4.99,5.19,2026-03-16 09:08:40
6,31179,Preparado Especial para Pastas y Arroces,3.79,3.99,2026-03-16 09:10:00
7,32299,Café Colombia 20 Cápsulas,3.85,3.8,2026-03-16 09:10:05
8,32443,Café Descafeinado 20 cápsulas,3.8,3.85,2026-03-16 09:10:06
9,34266,"Ginebra 0,0",14.25,13.45,2026-03-16 09:10:15
10,5709,Aceitunas Rellenas Anchoa Cantábrico Lata,2.35,2.39,2026-03-17 08:53:19
11,4705,Tomate Pera,0.26,0.28,2026-03-17 08:53:48
12,4902,Cerveza Extra Lata,1.06,1.03,2026-03-17 08:53:50
13,5210,Aceitunas Manzanilla sin Hueso  Bolsa,0.95,0.98,2026-03-17 08:53:53
14,5197,Filete Primera A de Añojo Plancha,6.28,6.46,2026-03-17 08:53:53
15,5351,Galletas Integrales Marie Lu,3.75,3.85,2026-03-17 08:53:54
16,5849,Caramelo Eucalipto Menta Pack de 4,2.95,2.99,2026-03-17 08:53:59
17,5850,Caramelos Cítricos Vita C sin Azúcar,2.95,2.99,2026-03-17 08:53:59
18,5980,Philadelphia Light Tarrina,2.54,2.59,2026-03-17 08:54:00
19,6196,Galletas de Cacao Rellenas de Crema,1.6,1.7,2026-03-17 08:54:01
20,6153,Philadelphia Natural Tarrina,2.54,2.59,2026-03-17 08:54:01
21,7216,Galleta Mikado con Chocoleche,2.25,2.3,2026-03-17 08:54:08
22,8260,Aceitunas Manzanilla con Hueso Bolsa,0.95,0.98,2026-03-17 08:54:12
23,8125,Galleta Rellena de Crema Golden,1.6,1.7,2026-03-17 08:54:12
24,9324,Galleta Principe Estrella,2.75,2.95,2026-03-17 08:54:18
25,9765,Galletas Principe Estrella con Chocolate Blanco,2.75,2.95,2026-03-17 08:54:21
