id,name,brand,last_price,unit_size,category,image_url,canonical_category,offer_price,offer_label,last_update
25550,100% Real Whey Protein Chocolate,PROZIS,17.99,1 Kg,Nutrición deportiva,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7367811.jpg?t=20260331081156,Otros,,,2026-03-31 22:25:27
28684,100% Real Whey Protein Cookies and Cream,PROZIS,17.99,1 Kg,Nutrición deportiva,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7394559.jpg?t=20260331081217,Otros,,,2026-03-31 22:25:38
31216,2Recambios Ambientador Automático Lavanda,GLADE,6.15,1 U,Eléctricos y automáticos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7415300.jpg?t=20260108143946,Otros,,,2026-03-31 22:25:49
44683,30% Protein Bar Coco,VITALDIN,3.45,1 Kg,Nutrición deportiva,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7467806.jpg?t=20260331081504,Otros,,,2026-03-31 22:26:31
29231,30% Protein Bar Stracciatella 3 uds,JUST LOADING,3.3,1 Kg,Nutrición deportiva,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7399207.jpg?t=20260331081229,Otros,,,2026-03-31 22:25:41
44634,30% Protein Wafer Chocolate,VITALDIN,3.9,1 Kg,Nutrición deportiva,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7467798.jpg?t=20260331081504,Otros,,,2026-03-31 22:26:30
43348,3en1 Champú+Gel +Acondicionador,SEVEN KIDS,3.95,100 ml,Gel y champú,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7459055.jpg?t=20260331081440,Otros,,,2026-03-31 22:26:21
5187,Abrillantador Lavavajillas,FINISH,4.9,1 L,Lavavajillas a máquina,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/956300.jpg?t=20260331080849,Otros,,,2026-03-31 22:24:11
31849,Abrillantador Lavavajillas,CONSUM,1.2,100 ml,Lavavajillas a máquina,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7407489.jpg?t=20260331081238,Otros,,,2026-03-31 22:25:52
11863,Absorbe Olor Lavanda,GLADE,5.15,1 U,Absorbe olores y antihumedad,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/400481.jpg?t=20260331080842,Otros,,,2026-03-31 22:24:48
13089,Absorbe Olores para el Frigorífico,LA LEVANTINA,1.8,1 U,Absorbe olores y antihumedad,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7228950.jpg?t=20251029080849,Otros,,,2026-03-31 22:24:54
7772,Aceite Almendras Reparador,NATURAFEMME,3.99,100 ml,Body-lociones,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7234024.jpg?t=20260331081019,Otros,,,2026-03-31 22:24:30
35350,Aceite Argán Oil&Go Hidratante,NAT.HONEY,2.99,100 ml,Body-lociones,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446313.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:12
7101,Aceite Cabello Universal,ELVIVE,10.49,100 ml,"Serums, aceites y otros",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7196392.jpg?t=20260331080959,Aceites y Condimentos,,,2026-03-31 22:24:26
31609,Aceite Corporal Aloe Vera,VITARELLE,2.99,100 ml,Body-lociones,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7417830.jpg?t=20260331081313,Otros,,,2026-03-31 22:25:51
24100,Aceite Corporal Regular,JOHNSON,3.7,100 ml,"Cremas, lociones y colonia",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7353832.jpg?t=20260331081141,Otros,,,2026-03-31 22:25:23
39887,Aceite Crema Aguacate Nutritivo,OR.REMEDIES,3.4,100 ml,Acondicionadores,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7455335.jpg?t=20260331081432,Otros,,,2026-03-31 22:26:19
20591,Aceite de Aguacate Cristal,ALBERT,2.35,1 L,Otros aceites,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7327146.jpg?t=20251219080337,Aceites y Condimentos,,,2026-03-31 22:25:13
35349,Aceite de Coco Oil&Go Hidratante,NAT.HONEY,2.99,100 ml,Body-lociones,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446305.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:12
29995,Aceite de Coco Virgen Extra Ecológico,LA ESPAÑOLA,5.59,1 L,Despensa,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7405467.jpg?t=20260331081236,Otros,,,2026-03-31 22:25:45
17164,Aceite de Girasol Alto Oleico,CONSUM,2.25,1 L,Aceite de girasol,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7299873.jpg?t=20260331081056,Aceites y Condimentos,,,2026-03-31 22:25:04
15627,Aceite de Girasol Botella,CONSUM,1.75,1 L,Aceite de girasol,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7285166.jpg?t=20260331081045,Aceites y Condimentos,,,2026-03-31 22:25:01
15767,Aceite de Girasol Botella,CONSUM,8.45,1 L,Aceite de girasol,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7285179.jpg?t=20260331081045,Aceites y Condimentos,,,2026-03-31 22:25:01
26073,Aceite de Girasol Botella,KOIPESOL,2.95,1 L,Aceite de girasol,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7371680.jpg?t=20260326103452,Aceites y Condimentos,1.99,Ahora más barato,2026-03-31 22:23:53
39809,Aceite de Girasol Fritos,KOIPESOL,3.25,1 L,Aceite de girasol,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7454267.jpg?t=20260326112217,Aceites y Condimentos,,,2026-03-31 22:26:18
4961,"Aceite de Oliva 0,4º Botella",CARBONELL,5.95,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/379271.jpg?t=20260331080842,Carnes,,,2026-03-31 22:24:09
44332,Aceite de Oliva D.O.P.Priego de Córdoba,MUELOLIVA,5.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7464316.jpg?t=20260326113117,Aceites y Condimentos,,,2026-03-31 22:26:28
39753,Aceite de Oliva Extra Suave,CARBONELL,5.95,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7454262.jpg?t=20260331081426,Carnes,4.59,Ahora más barato,2026-03-31 22:24:02
7517,Aceite de Oliva Intenso,CARBONELL,5.95,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7219686.jpg?t=20260408083157,Carnes,4.95,Ahora más barato,2026-04-08 21:59:55
15820,Aceite de Oliva Intenso,CONSUM,4.35,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7285190.jpg?t=20260331081045,Carnes,,,2026-03-31 22:25:01
28902,Aceite de Oliva Intenso,CARBONELL,12.99,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7394315.jpg?t=20260317081622,,,,2026-03-26 09:03:45
32301,Aceite de Oliva Intenso,CONSUM,12.69,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414803.jpg?t=20260331081247,Carnes,,,2026-03-31 22:25:55
10343,Aceite de Oliva Intenso Sumun,LA MASIA,4.79,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7147978.jpg?t=20260305081013,Carnes,,,2026-03-31 22:24:42
33558,Aceite de Oliva Sin Filtrar,AIRES,2.59,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7433423.jpg?t=20260317081720,Carnes,,,2026-03-31 22:26:01
15691,Aceite de Oliva Suave,CONSUM,4.1,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7285240.jpg?t=20260331081045,Carnes,,,2026-03-31 22:25:01
32302,Aceite de Oliva Suave,CONSUM,12.1,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414808.jpg?t=20260331081247,Carnes,,,2026-03-31 22:25:55
15939,Aceite de Oliva Virgen,CARBONELL,6.49,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7291177.jpg?t=20260331081050,Aceites y Condimentos,,,2026-03-31 22:25:01
11034,Aceite de Oliva Virgen Botella,CONSUM,12.85,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7265689.jpg?t=20260331081035,Aceites y Condimentos,,,2026-03-31 22:24:45
11035,Aceite de Oliva Virgen Botella,CONSUM,2.69,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7265697.jpg?t=20260331081035,Carnes,,,2026-03-31 22:24:45
13342,Aceite de Oliva Virgen Botella,CONSUM,4.45,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7265671.jpg?t=20260331081035,Aceites y Condimentos,,,2026-03-31 22:24:54
44172,Aceite de Oliva Virgen Extra,COOSUR,29.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463784.jpg?t=20260331081451,Aceites y Condimentos,,,2026-03-31 22:26:27
9534,Aceite de Oliva Virgen Extra,CARBONELL,8.45,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7264617.jpg?t=20260408083239,Aceites y Condimentos,5.99,Ahora más barato,2026-04-08 21:59:57
14480,Aceite de Oliva Virgen Extra,CONSUM,14.55,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7281074.jpg?t=20260331081043,Aceites y Condimentos,,,2026-03-31 22:24:57
15301,Aceite de Oliva Virgen Extra,FINCA BADENE,7.94,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7285463.jpg?t=20260325080318,Carnes,,,2026-03-31 22:25:00
31031,Aceite de Oliva Virgen Extra,COOSUR,18.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7413045.jpg?t=20260305083354,Aceites y Condimentos,,,2026-03-31 22:25:48
31955,Aceite de Oliva Virgen Extra,CONSUM,3.65,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414787.jpg?t=20260331081247,Carnes,,,2026-03-31 22:25:53
32033,Aceite de Oliva Virgen Extra,AIRES,6.45,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7422041.jpg?t=20260205105128,Aceites y Condimentos,,,2026-03-31 22:25:53
34918,Aceite de Oliva Virgen Extra,COOSUR,1.89,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7442841.jpg?t=20260331081401,Carnes,,,2026-03-31 22:26:09
43135,Aceite de Oliva Virgen Extra,HOJIBLANCA,25.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7454924.jpg?t=20260331081429,Aceites y Condimentos,,,2026-03-31 22:26:19
29403,Aceite de Oliva Virgen Extra Arbequina,CONSUM,4.85,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7395176.jpg?t=20260331081218,Carnes,,,2026-03-31 22:25:42
11036,Aceite de Oliva Virgen Extra Cristal,CONSUM,5.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7265700.jpg?t=20260331081035,Aceites y Condimentos,,,2026-03-31 22:24:45
31853,Aceite de Oliva Virgen Extra Cristal,CONSUM,2.35,1 L,Aceite de oliva intenso y suave,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7414782.jpg?t=20260331081247,Carnes,,,2026-03-31 22:25:52
32032,Aceite de Oliva Virgen Extra Cristal,FINCA BADENE,5.8,1 L,Despensa,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7422038.jpg?t=20251219080550,Otros,,,2026-03-31 22:25:53
18706,Aceite de Oliva Virgen Extra Ecológico,CONSUM ECO,4.75,1 L,Despensa,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7304397.jpg?t=20260331081058,Otros,,,2026-03-31 22:25:08
10219,Aceite de Oliva Virgen Extra Gran Selección,CARBONELL,6.95,1 L,Aceite de oliva virgen y virgen extra,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7227663.jpg?t=20260331081017,Aceites y Condimentos,,,2026-03-31 22:24:42
